Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
304.485,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
316.998,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
320.712,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
320.989,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
321.005,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
322.076,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
322.641,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
323.035,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
323.855,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
324.266,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
329.671,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
357.295,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
390.406,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
390.824,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
420.766,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=2&amp;ref=3587&amp;type=
