Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
283.3472,0.0008,283.3480,0.0003,440,9.e+07,E,13 236.422,-,48 518.33,6d2,a 3F,2,5f6d,y 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9107&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=9107&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
284.7160,0.0008,284.71600,0.00024,5400hl,6.e+08,E,9 087.520,-,44 199.919,6d7s,a 1D,2,6d7p,y 1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
285.6730,0.0013,285.6715,0.0004,340h,1.9e+08,D+,22 180.527,-,57 175.49,7s7p,z 3P°,1,,,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
286.411,0.001,,,95h,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
289.5200,0.0008,289.5195,0.0003,470,,,14 949.177,-,49 479.04,6d2,a 3F,3,5f6d,y 3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
289.6820,0.0008,289.68173,0.00019,2000c,4.5e+07,D+,7 426.493,-,41 937.022,6d7s,a 3D,3,6d7p,y 1F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
290.5810,0.0013,290.5790,0.0004,130h,,,29 881.060,-,64 285.03,5f7s,z 1F°,3,,,3 or 4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
292.3019,0.0009,292.3011,0.0003,1700,2.8e+07,D+,7 426.493,-,41 627.78,6d7s,a 3D,3,5f6d,z 1G°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
292.4121,0.0009,292.41234,0.00026,350,,,9 087.520,-,43 275.798,6d7s,a 1D,2,5f6d,x 3F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
293.1460,0.0013,293.1445,0.0005,340hl,,,28 201.119,-,62 304.01,7s7p,z 3P°,2,,,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
293.5800,0.0009,293.5801,0.0004,120,,,19 202.966,-,53 255.26,6d2,a 3P,2,5f6d,x 1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
294.4421,0.0009,294.4411,0.0006,110,5.1e+07,D+,22 199.432,-,56 152.16,6d2,b 1D,2,5f6d,x 1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
295.849,0.001,,,190hl,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
296.6449,0.0009,296.6443,0.0004,94h,2.2e+07,E,29 881.060,-,63 581.63,5f7s,z 1F°,3,5f(<sup>2</sup>F°<sub>7/2</sub>)7p<sub>3/2</sub>,e 1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
297.2491,0.0009,297.24922,0.00019,180c,,,4 739.632,-,38 371.617,6d7s,a 3D,1,6d7p,y 3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
299.4170,0.0009,299.4165,0.0004,7000,1.6e+08,E,0.00,-,33 388.558,7s2,a 1S,0,6d7p,z 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9107&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=9107&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
299.6682,0.0009,299.66750,0.00027,250hl,,,26 446.929,-,59 807.52,6d7p,y 3F°,2,5f(<sup>2</sup>F°<sub>5/2</sub>)7p<sub>3/2</sub>,e 3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
300.1877,0.0009,300.1873,0.0004,580,,,16 756.852,-,50 059.68,6d2,a 3F,4,5f6d,y 3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
301.540,0.001,,,150h,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
301.9868,0.0009,301.98606,0.00018,5000c,8.6e+07,D+,5 267.148,-,38 371.617,6d7s,a 3D,2,6d7p,y 3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
303.0459,0.0009,303.0453,0.0003,110hl,,,29 881.060,-,62 869.82,5f7s,z 1F°,3,5f(<sup>2</sup>F°<sub>7/2</sub>)7p<sub>3/2</sub>,e 3F,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
304.3301,0.0009,304.33007,0.00020,12000,3.6e+08,D+,9 087.520,-,41 937.022,6d7s,a 1D,2,6d7p,y 1F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
306.4251,0.0009,306.4251,0.0004,500hl,,,26 446.929,-,59 071.85,6d7p,y 3F°,2,5f(<sup>2</sup>F°<sub>5/2</sub>)7p<sub>3/2</sub>,e 3F,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
306.9361,0.0009,306.9363,0.0003,3600,3.5e+08,D+,13 236.422,-,45 807.01,6d2,a 3F,2,5f6d,z 3G°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9107&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=9107&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
307.6171,0.0009,307.6170,0.0004,160,,,17 737.03,-,50 235.55,6d2,a 3P,0,5f6d,x 3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
307.6871,0.0009,307.6878,0.0003,480,,,9 087.520,-,41 578.56,6d7s,a 1D,2,5f6d,x 3F°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
307.8068,0.0009,307.8070,0.0003,3000,3.7e+08,D+,14 949.177,-,47 427.63,6d2,a 3F,3,5f6d,z 3G°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9107&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=9107&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
308.0541,0.0009,308.0534,0.0003,110h,,,22 180.527,-,54 633.004,7s7p,z 3P°,1,5f(<sup>2</sup>F°<sub>5/2</sub>)7p<sub>1/2</sub>,e 3F,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
308.4849,0.0010,308.4852,0.0005,330,3.e+07,E,20 848.202,-,53 255.26,6d2,a 1G,4,5f6d,x 1F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
