Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,16.8880,0.0010,,2.78e+00,B,0.00,-,592 134.70,1s2,1S,0,1s5p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
17.158,17.1577,0.0010,,3.2984e+09,AAA,0.00,-,582 830.11,1s2,1S,0,1s4p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,17.1635,0.0010,,4.6897e+04,AAA,0.00,-,582 630.95,1s2,1S,0,1s4d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,17.1855,0.0010,,5.33e+00,B,0.00,-,581 886.70,1s2,1S,0,1s4p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
17.802,17.8014,0.0010,,7.7630e+09,AAA,0.00,-,561 752.82,1s2,1S,0,1s3p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,17.8166,0.0010,,8.2665e+04,AAA,0.00,-,561 273.62,1s2,1S,0,1s3d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,17.8731,0.0010,,1.20e+01,B,0.00,-,559 501.42,1s2,1S,0,1s3p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
19.928,19.9279,0.0010,,2.5569e+10,AAA,0.00,-,501 808.59,1s2,1S,0,1s2p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,20.2321,0.0010,,3.50e+01,A,0.00,-,494 263.44,1s2,1S,0,1s2p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1494&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=1494&amp;type=M2,
20.75,,,,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
