Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,54.3445,,7.90e+07,B,63.42,-,184 074.59,2s22p,2P°,3/2,2s<sup>2</sup>6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.7068,,4.33e+07,B,43 025.3,-,225 817.8,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)5s,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.7140,,6.01e+07,B,43 003.3,-,225 771.8,2s2p2,4P,1/2,2s2p(<sup>3</sup>P°)5s,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.7153,,1.01e+08,B,43 053.6,-,225 817.8,2s2p2,4P,5/2,2s2p(<sup>3</sup>P°)5s,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.7206,,1.92e+07,C+,43 025.3,-,225 771.8,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)5s,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.7211,,2.40e+07,C+,43 003.3,-,225 748.0,2s2p2,4P,1/2,2s2p(<sup>3</sup>P°)5s,4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.7277,,1.20e+08,B,43 025.3,-,225 748.0,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)5s,4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.7291,,6.48e+07,B,43 053.6,-,225 771.8,2s2p2,4P,5/2,2s2p(<sup>3</sup>P°)5s,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.9320,,6.71e+07,B,0.00,-,182 043.41,2s22p,2P°,1/2,2s2p(<sup>3</sup>P°)3p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.9379,,2.68e+08,B,0.00,-,182 023.86,2s22p,2P°,1/2,2s2p(<sup>3</sup>P°)3p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.9511,,3.35e+08,B,63.42,-,182 043.41,2s22p,2P°,3/2,2s2p(<sup>3</sup>P°)3p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,54.9570,,1.34e+08,B,63.42,-,182 023.86,2s22p,2P°,3/2,2s2p(<sup>3</sup>P°)3p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,55.1681,,2.45e+07,C+,0.00,-,181 264.24,2s22p,2P°,1/2,2s<sup>2</sup>6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,55.1874,,4.90e+07,C+,63.42,-,181 264.24,2s22p,2P°,3/2,2s<sup>2</sup>6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.0239,,6.06e+08,B,0.00,-,178 495.11,2s22p,2P°,1/2,2s<sup>2</sup>5d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.0437,,7.27e+08,B,63.42,-,178 495.71,2s22p,2P°,3/2,2s<sup>2</sup>5d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.0439,,1.21e+08,B,63.42,-,178 495.11,2s22p,2P°,3/2,2s<sup>2</sup>5d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.2298,,1.75e+08,B,43 003.3,-,220 845.07,2s2p2,4P,1/2,2s2p(<sup>3</sup>P°)4d,4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.2338,,4.37e+08,B,43 003.3,-,220 832.15,2s2p2,4P,1/2,2s2p(<sup>3</sup>P°)4d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.2367,,8.73e+08,B,43 025.3,-,220 845.07,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)4d,4P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.2408,,1.40e+08,B,43 025.3,-,220 832.15,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)4d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.2473,,3.14e+08,B,43 025.3,-,220 811.69,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)4d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.2498,,4.71e+08,B,43 053.6,-,220 832.15,2s2p2,4P,5/2,2s2p(<sup>3</sup>P°)4d,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.2562,,7.33e+08,B,43 053.6,-,220 811.69,2s2p2,4P,5/2,2s2p(<sup>3</sup>P°)4d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4565,,7.68e+08,B,43 003.3,-,220 130.86,2s2p2,4P,1/2,2s2p(<sup>3</sup>P°)4d,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4582,,1.54e+09,B,43 003.3,-,220 125.51,2s2p2,4P,1/2,2s2p(<sup>3</sup>P°)4d,4D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4608,,1.29e+09,B,43 025.3,-,220 139.41,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)4d,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4635,,9.83e+08,B,43 025.3,-,220 130.86,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)4d,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4652,,3.07e+08,B,43 025.3,-,220 125.51,2s2p2,4P,3/2,2s2p(<sup>3</sup>P°)4d,4D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4663,,1.84e+09,B,43 053.6,-,220 150.49,2s2p2,4P,5/2,2s2p(<sup>3</sup>P°)4d,4D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4698,,5.53e+08,B,43 053.6,-,220 139.41,2s2p2,4P,5/2,2s2p(<sup>3</sup>P°)4d,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,56.4725,,9.21e+07,B,43 053.6,-,220 130.86,2s2p2,4P,5/2,2s2p(<sup>3</sup>P°)4d,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,57.6875,,4.70e+07,C+,0.00,-,173 347.84,2s22p,2P°,1/2,2s<sup>2</sup>5s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,57.7086,,9.38e+07,B,63.42,-,173 347.84,2s22p,2P°,3/2,2s<sup>2</sup>5s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
,59.4800,,1.11e+09,B,0.00,-,168 123.74,2s22p,2P°,1/2,2s<sup>2</sup>4d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
