Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
583.17185,0.0001,61300.0,13042.896027,30185.7476,3p64p,2P°,3/2,3p65d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,
583.18899,0.0001,371000.0,13042.896027,30185.2439,3p64p,2P°,3/2,3p65d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
691.10815,0.00014,2500000.0,12985.185724,27450.7104,3p64p,2P°,1/2,3p66s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
693.62861,0.00023999999999999998,19000.0,12985.185724,27398.147,3p64p,2P°,1/2,3p64d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
693.87640,0.00014,4956000.0,13042.896027,27450.7104,3p64p,2P°,3/2,3p66s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
696.41712,0.00023999999999999998,2400.0,13042.896027,27398.147,3p64p,2P°,3/2,3p64d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
696.46903,0.00023999999999999998,13700.0,13042.896027,27397.077,3p64p,2P°,3/2,3p64d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
766.48991,2.9999999999999997e-05,37790000.0,0.0,13042.896027,3p64s,2S,1/2,3p64p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9745&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9745&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8995&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=8995&amp;type=
769.89646,2.9999999999999997e-05,37340000.0,0.0,12985.185724,3p64s,2S,1/2,3p64p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9745&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9745&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8995&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=8995&amp;type=
959.569,0.006,229400.0,21534.68,31953.17,3p63d,2D,5/2,3p66f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9168&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=9168&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6096&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6096&amp;type=
