Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
501.567798,3e-06,13372000.0,166277.440141,186209.36494,1s2s,1S,0,1s3p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14926&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=14926&amp;type=
504.208747,3e-06,102.2,166277.440141,186104.9666893,1s2s,1S,0,1s3d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=7378&amp;type=E2,
587.443387,3e-06,4310.0,169086.7664725,186104.9666893,1s2p,3P°,2,1s3d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,
587.446025,3e-06,12320.0,169086.8428979,186104.9666893,1s2p,3P°,1,1s3d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,
587.559870,3e-06,1964100.0,169086.7664725,186101.5928903,1s2p,3P°,2,1s3d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,
587.561396,3e-06,17673000.0,169086.7664725,186101.5486891,1s2p,3P°,2,1s3d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
587.561483,3e-06,70708000.0,169086.7664725,186101.5461767,1s2p,3P°,2,1s3d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
587.562509,3e-06,29462000.0,169086.8428979,186101.5928903,1s2p,3P°,1,1s3d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
587.564035,3e-06,53019000.0,169086.8428979,186101.5486891,1s2p,3P°,1,1s3d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
587.596626,3e-06,39282000.0,169087.8308131,186101.5928903,1s2p,3P°,0,1s3d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
663.190182,3e-06,23.749000000000002,171134.896946,186209.36494,1s2p,1P°,1,1s3p,1P°,1,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=7378&amp;type=E2,
667.815170,3e-06,63705000.0,171134.896946,186104.9666893,1s2p,1P°,1,1s3d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
667.967683,3e-06,15100.0,171134.896946,186101.5486891,1s2p,1P°,1,1s3d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,
706.517714,5e-06,15474000.0,169086.7664725,183236.7917,1s2p,3P°,2,1s3s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14925&amp;comment_code=c72&amp;element=He&amp;spectr_charge=1&amp;ref=14925&amp;type=
706.521530,5e-06,9284400.0,169086.8428979,183236.7917,1s2p,3P°,1,1s3s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14925&amp;comment_code=c72&amp;element=He&amp;spectr_charge=1&amp;ref=14925&amp;type=
706.570861,5e-06,3094800.0,169087.8308131,183236.7917,1s2p,3P°,0,1s3s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
728.135074,4e-06,18299000.0,171134.896946,184864.82932,1s2p,1P°,1,1s3s,1S,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=366&amp;comment_code=&amp;element=He&amp;spectr_charge=1&amp;ref=366&amp;type=
886.366129,4e-06,1.442,159855.9743297,171134.896946,1s2s,3S,1,1s2p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=He&amp;spectr_charge=1&amp;ref=8636&amp;type=,
