Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
1 869.7,1.0,13830000.0,31283.12,36630.2,1s23d,2D,5/2,1s24f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7409&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7409&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
1 927.57,0.10,53630.0,31283.08,36469.55,1s23d,2D,3/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
1 927.57,0.10,536300.0,31283.08,36469.55,1s23d,2D,3/2,1s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
1 927.58,0.10,482600.0,31283.12,36469.55,1s23d,2D,5/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
2 446.97,0.10,4966000.0,30925.38,35012.06,1s23p,2P°,3/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
2 446.97,0.10,2483000.0,30925.38,35012.06,1s23p,2P°,1/2,1s24s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
2 688.71,0.10,3737000.0,27206.12,30925.38,1s23s,2S,1/2,1s23p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,
2 688.71,0.10,3738000.0,27206.12,30925.38,1s23s,2S,1/2,1s23p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,
6 861.1,1.0,776000.0,35012.06,36469.55,1s24s,2S,1/2,1s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,
6 861.1,1.0,776000.0,35012.06,36469.55,1s24s,2S,1/2,1s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,
27 953.3,1.0,3770.0,30925.38,31283.12,1s23p,2P°,3/2,1s23d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,
27 956.4,1.0,628.0,30925.38,31283.08,1s23p,2P°,3/2,1s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,
27 956.4,1.0,3130.0,30925.38,31283.08,1s23p,2P°,1/2,1s23d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7401&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=7401&amp;type=,
64 998,60,1273.0,36469.55,36623.4,1s24p,2P°,3/2,1s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,
65 007,60,212.1,36469.55,36623.38,1s24p,2P°,3/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,
65 007,60,1060.0,36469.55,36623.38,1s24p,2P°,1/2,1s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6620&amp;comment_code=LS&amp;element=Li&amp;spectr_charge=1&amp;ref=6620&amp;type=,
1 466 000,216 000,0.0644,36623.38,36630.2,1s24d,2D,3/2,1s24f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1115&amp;comment_code=CA&amp;element=Li&amp;spectr_charge=1&amp;ref=1115&amp;type=,
1 470 000,220 000,0.069,36623.4,36630.2,1s24d,2D,5/2,1s24f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1115&amp;comment_code=CA&amp;element=Li&amp;spectr_charge=1&amp;ref=1115&amp;type=,
1 470 000,220 000,0.0046,36623.4,36630.2,1s24d,2D,5/2,1s24f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1115&amp;comment_code=CA&amp;element=Li&amp;spectr_charge=1&amp;ref=1115&amp;type=,
