Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
1 541.840+,0.01,5550000.0,78956.031,85440.017,5p5(2P°3/2)6p,2[3/2],1,5p5(2P°3/2)7s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 555.712+,,378000.0,81925.514,88351.681,5p5(2P°3/2)5d,2[5/2]°,2,5p5(2P°3/2)7p,2[5/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2228&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=2228&amp;type=
1 597.953+,,911000.0,82430.204,88686.5,5p5(2P°3/2)5d,2[5/2]°,3,5p5(2P°3/2)7p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2228&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=2228&amp;type=
1 605.329+,0.01,2000000.0,79212.465,85440.017,5p5(2P°3/2)6p,2[3/2],2,5p5(2P°3/2)7s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7384&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7384&amp;type=
1 655.449+,,216000.0,82430.204,88469.213,5p5(2P°3/2)5d,2[5/2]°,3,5p5(2P°3/2)7p,2[5/2],3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2228&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=2228&amp;type=
1 665.763+,,28000.0,81925.514,87927.131,5p5(2P°3/2)5d,2[5/2]°,2,5p5(2P°3/2)7p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,
1 672.816+,0.0008,1800000.0,79212.465,85188.777,5p5(2P°3/2)6p,2[3/2],2,5p5(2P°3/2)7s,2[3/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
1 688.307+,0.0009,117000.0,82430.204,88351.681,5p5(2P°3/2)5d,2[5/2]°,3,5p5(2P°3/2)7p,2[5/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
1 732.577+,0.0009,480000.0,78119.798,83889.971,5p5(2P°3/2)6p,2[5/2],2,5p5(2P°3/2)5d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7944&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7944&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
1 878.814+,0.0011,910000.0,80118.962,85440.017,5p5(2P°3/2)6p,2[1/2],0,5p5(2P°3/2)7s,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5818&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=5818&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
