Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
341.6271,0.0004,341.62759,0.00019,300,6.6e+07,D+,2 231.432,-,31 494.679,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>P)7p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
344.6250,0.0013,,,1600,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
350.6250,0.0013,,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
354.9470,0.0004,354.9474,0.0003,100,1.3e+07,E,2 231.432,-,30 396.57,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>F)7p,4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
364.4420,0.0013,,,84,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
365.3490,0.0013,,,42,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
366.2350,0.0013,,,110,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
369.2360,0.0013,,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
370.1300,0.0004,370.12988,0.00018,1300,7.e+06,E,0.000,-,27 009.857,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>F)7p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
372.5248,0.0004,372.52512,0.00018,74,,,0.000,-,26 836.195,6d7s2,a 2D,3/2,6d7s(<sup>3</sup>D)7p,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
373.5950,0.0013,,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
376.7800,0.0004,376.7797,0.0003,560,6.7e+07,D+,0.000,-,26 533.169,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>F)7p,4F°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
379.5860,0.0010,379.58698,0.00025,280,8.e+06,D+,2 231.432,-,28 568.377,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>F)7p,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
381.4360,0.0013,,,320,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
383.5320,0.0004,383.5321,0.0003,1300,6.1e+07,D+,0.000,-,26 066.045,6d7s2,a 2D,3/2,6d<sup>2</sup>(<sup>3</sup>F)7p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
384.3040,0.0013,384.3040,0.0013,4500,2.2e+08,D+,0.000,-,26 013.69,6d7s2,a 2D,3/2,6d7s(<sup>1</sup>D)7p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
388.5559,0.0004,388.5560,0.0005,5800,1.1e+08,D+,2 231.432,-,27 960.46,6d7s2,a 2D,5/2,6d7s(<sup>3</sup>D)7p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
392.9520,0.0004,392.95223,0.00025,97,,,9 217.289,-,34 658.472,6d2(3F)7s,a 4F,3/2,6d<sup>2</sup>(<sup>3</sup>P)7p,4D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
400.3790,0.0013,400.3787,0.0003,57,,,0.000,-,24 969.293,6d7s2,a 2D,3/2,6d7s(<sup>1</sup>D)7p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
400.4639,0.0004,400.4639,0.0003,190,,,10 906.027,-,35 870.006,6d2(3F)7s,a 4F,7/2,6d<sup>2</sup>(<sup>1</sup>G)7p,2G°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
401.5220,0.0013,,,120,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
403.1948,0.0004,403.19507,0.00024,290,,,9 863.588,-,34 658.472,6d2(3F)7s,a 4F,5/2,6d<sup>2</sup>(<sup>3</sup>P)7p,4D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
403.4630,0.0004,403.46290,0.00021,2600,3.7e+07,D+,2 231.432,-,27 009.857,6d7s2,a 2D,5/2,6d<sup>2</sup>(<sup>3</sup>F)7p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=1&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
406.3100,0.0004,406.31063,0.00021,2800,,,2 231.432,-,26 836.195,6d7s2,a 2D,5/2,6d7s(<sup>3</sup>D)7p,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
408.1040,0.0004,408.1037,0.0003,91,,,9 863.588,-,34 360.246,6d2(3F)7s,a 4F,5/2,7s<sup>2</sup>5f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
408.7759,0.0004,408.7762,0.0003,150,,,9 217.289,-,33 673.650,6d2(3F)7s,a 4F,3/2,7s<sup>2</sup>5f,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=1&amp;ref=7344&amp;type=
