Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Lower Level  J,Upper Level  J,Type,TPRef.,LineRef.
356.3816,,40,1.1e+06,C,,,,3,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
356.5046,,470,2.9e+06,C,,,,6,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
356.6002,,490,1.7e+06,C,,,,6,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
356.659,,2300,2.4e+07,B,,,,5,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
356.8779,,600,3.8e+06,C,,,,6,6,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
356.908,,530,1.1e+07,C,,,,8,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=3475&amp;type=
356.9367,,290,1.5e+06,C,,,,4,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
357.0094,,230,1.3e+06,C,,,,6,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
357.0217,,370,5.3e+05,C,,,,5,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
357.0584,,210,2.7e+06,C,,,,6,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1813&amp;comment_code=&amp;element=U&amp;spectr_charge=1&amp;ref=1813&amp;type=
