Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
320.771,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
320.994,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
322.423,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
322.511,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
323.028,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
323.674,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
324.625,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
325.268,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
326.581,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
328.045,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
330.485,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
331.714,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
337.470,,10000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3587&amp;comment_code=&amp;element=Cm&amp;spectr_charge=1&amp;ref=3587&amp;type=
