Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),Type,TPRef.,LineRef.
675.132,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
679.521,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
680.262,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
680.581,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
681.644,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
686.545,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
690.713,,300s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
691.291,,300w,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
693.031,,1000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
696.363,,300l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3793&amp;comment_code=&amp;element=Np&amp;spectr_charge=1&amp;ref=3793&amp;type=
