Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
202.4096,206000.0,166990.73,216379.59,2s2p(3P°)3s,4P°,3/2,2s2p(3P°)4p,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
202.4783,1280000.0,166990.73,216362.84,2s2p(3P°)3s,4P°,3/2,2s2p(3P°)4p,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
202.5080,1080000.0,167035.71,216400.57,2s2p(3P°)3s,4P°,5/2,2s2p(3P°)4p,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
202.5941,692000.0,167035.71,216379.59,2s2p(3P°)3s,4P°,5/2,2s2p(3P°)4p,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
204.8497,1100000.0,166967.13,215767.77,2s2p(3P°)3s,4P°,1/2,2s2p(3P°)4p,4S,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
204.9488,2190000.0,166990.73,215767.77,2s2p(3P°)3s,4P°,3/2,2s2p(3P°)4p,4S,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
205.1380,3280000.0,167035.71,215767.77,2s2p(3P°)3s,4P°,5/2,2s2p(3P°)4p,4S,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.1135,10000000.0,166967.13,214772.84,2s2p(3P°)3s,4P°,1/2,2s2p(3P°)4p,4D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.1187,16900000.0,166990.73,214795.27,2s2p(3P°)3s,4P°,3/2,2s2p(3P°)4p,4D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.1645,24100000.0,167035.71,214829.77,2s2p(3P°)3s,4P°,5/2,2s2p(3P°)4p,4D,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.1701,20100000.0,166967.13,214759.91,2s2p(3P°)3s,4P°,1/2,2s2p(3P°)4p,4D,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.2168,12800000.0,166990.73,214772.84,2s2p(3P°)3s,4P°,3/2,2s2p(3P°)4p,4D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.2735,4000000.0,166990.73,214759.91,2s2p(3P°)3s,4P°,3/2,2s2p(3P°)4p,4D,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.3156,7200000.0,167035.71,214795.27,2s2p(3P°)3s,4P°,5/2,2s2p(3P°)4p,4D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
209.4140,1200000.0,167035.71,214772.84,2s2p(3P°)3s,4P°,5/2,2s2p(3P°)4p,4D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
217.3850,23100000.0,116537.65,162524.57,2s23s,2S,1/2,2s24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
217.4166,23100000.0,116537.65,162517.89,2s23s,2S,1/2,2s24p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
218.7479,6760000.0,168729.53,214429.95,2p3,2P°,1/2,2s2p(3P°)4p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
218.8378,33700000.0,168748.3,214429.95,2p3,2P°,3/2,2s2p(3P°)4p,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
218.8707,27000000.0,168729.53,214404.33,2p3,2P°,1/2,2s2p(3P°)4p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
218.9606,13500000.0,168748.3,214404.33,2p3,2P°,3/2,2s2p(3P°)4p,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5109&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=5109&amp;type=,
219.551,9.7,96493.74,142027.1,2s2p2,2S,1/2,2p3,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7194&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=7194&amp;type=,
232.350,1.4,0.0,43025.3,2s22p,2P°,1/2,2s2p2,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7354&amp;comment_code=n&amp;element=C&amp;spectr_charge=2&amp;ref=7354&amp;type=,
232.469,59.9,0.0,43003.3,2s22p,2P°,1/2,2s2p2,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7354&amp;comment_code=n&amp;element=C&amp;spectr_charge=2&amp;ref=7354&amp;type=,
232.540,44.3,63.42,43053.6,2s22p,2P°,3/2,2s2p2,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7049&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=7049&amp;type=,
232.693,8.49,63.42,43025.3,2s22p,2P°,3/2,2s2p2,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7354&amp;comment_code=n&amp;element=C&amp;spectr_charge=2&amp;ref=7354&amp;type=,
232.812,67.8,63.42,43003.3,2s22p,2P°,3/2,2s2p2,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7354&amp;comment_code=n&amp;element=C&amp;spectr_charge=2&amp;ref=7354&amp;type=,
250.9126,47100000.0,110624.17,150466.69,2s2p2,2P,1/2,2p3,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7194&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=7194&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1113&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=1113&amp;type=
251.1735,9270000.0,110665.56,150466.69,2s2p2,2P,3/2,2p3,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7194&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=7194&amp;type=,
251.2058,56100000.0,110665.56,150461.58,2s2p2,2P,3/2,2p3,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7194&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=7194&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1113&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=1113&amp;type=
