Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
149.2311,0.0010,101100.0,494263.44,561273.62,1s2p,3P°,2.0,1s3d,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
149.2913,0.0010,467330000.0,494261.17,561244.3,1s2p,3P°,1.0,1s3d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
149.2939,0.0010,840940000.0,494261.17,561243.15,1s2p,3P°,1.0,1s3d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
149.2964,0.0010,31155000.0,494263.44,561244.3,1s2p,3P°,2.0,1s3d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
149.2976,0.0010,1121600000.0,494263.44,561243.77,1s2p,3P°,2.0,1s3d,3D,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
149.2989,0.0010,280310000.0,494263.44,561243.15,1s2p,3P°,2.0,1s3d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
149.3034,0.0010,623100000.0,494266.57,561244.3,1s2p,3P°,0.0,1s3d,3D,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
165.3076,0.0010,95283000.0,494261.17,554754.45,1s2p,3P°,1.0,1s3s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
165.3138,0.0010,158810000.0,494263.44,554754.45,1s2p,3P°,2.0,1s3s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
165.3224,0.0010,31761000.0,494266.57,554754.45,1s2p,3P°,0.0,1s3s,3S,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
166.8217,0.0010,1501.0,501808.59,561752.82,1s2p,1P°,1.0,1s3p,1P°,1.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
168.1661,0.0010,1006900000.0,501808.59,561273.62,1s2p,1P°,1.0,1s3d,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
168.2523,0.0010,340100.0,501808.59,561243.15,1s2p,1P°,1.0,1s3d,3D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
175.5332,0.0010,204990000.0,501808.59,558777.88,1s2p,1P°,1.0,1s3s,1S,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
