Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
342.2231+,600000.0,89843.78,119056.11,4d105d,2D,5/2,4d95s(3D)5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
349.5432+,48500000.0,89843.78,118444.36,4d105d,2D,5/2,4d105f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
353.5669+,790000.0,46618.55,74893.66,4d105p,2P°,3/2,4d95s2,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3315&amp;comment_code=n&amp;element=Cd&amp;spectr_charge=2&amp;ref=3315&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3486&amp;type=
366.6736+,270000.0,89689.25,116953.7,4d105d,2D,3/2,4d95s(3D)5p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
382.6706+,50000.0,69258.91,95383.63,4d95s2,2D,5/2,4d106p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
395.7230+,300000.0,89689.25,114952.3,4d105d,2D,3/2,4d95s(3D)5p,4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
438.451+,130000.0,89689.25,112490.39,4d105d,2D,3/2,4d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
441.443+,1100000.0,89843.78,112490.39,4d105d,2D,5/2,4d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
441.565+,1277000.0,46618.55,69258.91,4d105p,2P°,3/2,4d95s2,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=755&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=755&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3486&amp;type=
488.172+,11300000.0,89689.25,110168.11,4d105d,2D,3/2,4d95s(3D)5p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
491.884+,900000.0,89843.78,110168.11,4d105d,2D,5/2,4d95s(3D)5p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
502.548+,23900000.0,89843.78,109736.82,4d105d,2D,5/2,4d95s(3D)5p,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
527.78+,5100000.0,110247.6,129189.5,4d106d,2D,5/2,4d95s(1D)5p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
533.748+,172000000.0,89689.25,108419.47,4d105d,2D,3/2,4d104f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7716&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=7716&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3486&amp;type=
537.813+,182000000.0,89843.78,108432.43,4d105d,2D,5/2,4d104f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7716&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=7716&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3486&amp;type=
538.188+,12100000.0,89843.78,108419.47,4d105d,2D,5/2,4d104f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7716&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=7716&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
806.687+,50000000.0,82990.66,95383.63,4d106s,2S,1/2,4d106p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3486&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3486&amp;type=
833.583+,1450000.0,107300.88,119293.99,4d107s,2S,1/2,4d95s(3D)5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
850.452+,1700000.0,107300.88,119056.11,4d107s,2S,1/2,4d95s(3D)5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
853.026+,36400000.0,82990.66,94710.41,4d106s,2S,1/2,4d106p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6585&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=6585&amp;type=,
965.874+,68700000.0,108419.47,118769.95,4d104f,2F°,5/2,4d105g,2G,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7716&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=7716&amp;type=,
967.085+,2540000.0,108432.43,118769.95,4d104f,2F°,7/2,4d105g,2G,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7716&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=7716&amp;type=,
967.085+,71000000.0,108432.43,118769.95,4d104f,2F°,7/2,4d105g,2G,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7716&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=7716&amp;type=,
1 095.520+,138000.0,110247.6,119373.19,4d106d,2D,5/2,4d95s(3D)5p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
1 096.204+,900000.0,110174.1,119293.99,4d106d,2D,3/2,4d95s(3D)5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
1 125.563+,130000.0,110174.1,119056.11,4d106d,2D,3/2,4d95s(3D)5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
1 134.955+,1030000.0,110247.6,119056.11,4d106d,2D,5/2,4d95s(3D)5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
1 219.660+,36000000.0,110247.6,118444.36,4d106d,2D,5/2,4d105f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
1 926.44+,10900000.0,107300.88,112490.39,4d107s,2S,1/2,4d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
4 317.2+,250000.0,110174.1,112490.39,4d106d,2D,3/2,4d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
4 458.7+,2100000.0,110247.6,112490.39,4d106d,2D,5/2,4d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,
